FEN,BestMove,PieceCount,ThreatCount,PawnStructure,Score
1nbq2Q1/r6r/2pP1kpb/ppB2p1p/8/2NP4/PPP1P1PP/R2K1BNR,c5d4,29,1,0,1550
1nbq2Q1/r6r/2pP2pb/pp3pkp/3B4/2NP4/PPP1P1PP/R2K1BNR,g1f3,29,2,1,1610
1nbq2Q1/r6r/2pP2pb/pp3p1p/3B2k1/2NP1N2/PPP1P1PP/R2K1B1R,f3e5,29,2,1,1610
1nbq2Q1/r6r/2pP2pb/pp2Np1p/3B1k2/2NP4/PPP1P1PP/R2K1B1R,e5g6,29,1,0,1685
1nbq2Q1/r6r/2pP2Nb/pp3p1p/3B2k1/2NP4/PPP1P1PP/R2K1B1R,g6e5,28,2,0,1705
1nbq2Q1/r6r/2pP3b/pp2Np1p/3B1k2/2NP4/PPP1P1PP/R2K1B1R,g8g3,28,1,0,9999
rnbqkbnr/1ppp1p1p/p7/4p1p1/4PP2/P7/1PPP2PP/RNBQKBNR,f4f5,32,1,0,65
rnbqkbnr/1ppp3p/p4p2/4pPp1/4P3/P7/1PPP2PP/RNBQKBNR,d1h5,32,1,0,135
rnbq1bnr/1pppk2p/p4p2/4pPpQ/4P3/P7/1PPP2PP/RNB1KBNR,g1f3,32,3,0,160
rnbq1bnr/1ppp3p/p2k1p2/4pPpQ/4P3/P4N2/1PPP2PP/RNB1KB1R,h5f7,32,2,0,365
rnbq1bnr/1p1p1Q1p/p1pk1p2/4pPp1/4P3/P4N2/1PPP2PP/RNB1KB1R,b1c3,32,1,0,445
rnbq1bnr/3p1Q1p/pppk1p2/4pPp1/4P3/P1N2N2/1PPP2PP/R1B1KB1R,f1c4,32,1,0,480
rnbq1bnr/3p1Q1p/ppp2p2/2k1pPp1/2B1P3/P1N2N2/1PPP2PP/R1B1K2R,b2b4,32,2,0,510
